                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0226,                 4.5734,                 1.1957,                0.90609,                0.69444,                0.78761,                0.36119,                 1.9366,                 1.1855,                 1.2092,             0.00066372,             0.00066372,             0.00066372
                      1,                 2.0232,                 1.2288,                 1.1926,                0.80639,                0.66204,                0.73742,                0.31071,                 2.0085,                  2.704,                 1.2621,              0.0013172,              0.0013172,              0.0013172
                      2,                 2.0662,                 1.2532,                 1.2015,                0.84581,                0.73649,                0.81576,                0.33415,                 1.9749,                  1.177,                 1.1918,              0.0019575,              0.0019575,              0.0019575
                      3,                 2.0217,                 1.1811,                 1.1882,                0.90572,                0.84503,                0.89154,                0.41972,                 1.8719,                0.97306,                 1.1878,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.9699,                 1.1388,                 1.1744,                0.90104,                0.84722,                0.89641,                0.42732,                 1.8246,                0.95275,                 1.1552,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9156,                 1.0889,                 1.1515,                0.91074,                0.77315,                0.81163,                0.39946,                 1.8507,                 1.1156,                 1.1725,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8912,                 1.0258,                  1.143,                0.91549,                0.86574,                0.89685,                 0.4581,                 1.7485,                0.85008,                 1.1309,               0.001901,               0.001901,               0.001901
                      7,                 1.8455,                 1.0132,                 1.1291,                0.90278,                0.81682,                0.86782,                 0.3977,                 1.8686,                 1.0052,                 1.1708,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8592,                0.98908,                 1.1292,                0.87977,                0.81307,                0.86465,                0.38801,                 1.8791,                 1.0484,                 1.1572,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8673,                 1.0117,                 1.1232,                0.94378,                0.85492,                0.91368,                0.43258,                 1.8055,                0.88983,                 1.1524,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8289,                0.95194,                 1.1194,                0.91673,                 0.9174,                0.93044,                0.44143,                 1.8362,                0.90851,                 1.1486,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8217,                0.93279,                 1.1146,                0.91118,                0.85486,                0.89763,                0.44168,                 1.7985,                0.87118,                 1.1455,               0.001802,               0.001802,               0.001802
                     12,                 1.7727,                0.89181,                 1.0987,                0.90947,                0.88366,                 0.9026,                0.43763,                 1.7847,                0.85535,                 1.1352,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7664,                0.88004,                 1.0929,                0.91133,                0.85645,                 0.9106,                 0.4472,                 1.7661,                0.84989,                 1.1321,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7582,                0.89337,                  1.098,                0.91694,                0.84259,                 0.8952,                0.45027,                 1.7836,                0.83429,                 1.1524,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7288,                0.86246,                 1.0857,                0.89444,                0.86111,                0.89228,                0.44288,                 1.7547,                 0.8407,                 1.1351,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7255,                0.84942,                 1.0781,                0.89636,                0.90741,                0.92924,                0.45735,                 1.7655,                0.82194,                 1.1242,               0.001703,               0.001703,               0.001703
                     17,                 1.7161,                0.84457,                 1.0809,                0.92036,                0.90957,                0.92979,                0.46092,                 1.7621,                 0.8036,                 1.1568,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6646,                0.82797,                 1.0739,                0.95871,                0.85993,                0.92966,                0.46864,                 1.8537,                0.82503,                 1.1675,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6833,                0.83863,                 1.0757,                0.95862,                0.85803,                 0.9387,                0.47355,                 1.7607,                0.79999,                  1.132,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6341,                 0.8051,                 1.0598,                0.94057,                0.89352,                0.94331,                 0.4488,                  1.788,                0.77476,                 1.1866,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6728,                 0.8357,                 1.0815,                 0.9677,                0.88426,                0.94734,                0.46584,                 1.7654,                0.76688,                 1.1232,               0.001604,               0.001604,               0.001604
                     22,                 1.6158,                0.77874,                 1.0472,                0.97474,                0.89311,                0.95337,                0.44769,                 1.8801,                0.80511,                 1.1542,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.594,                0.78091,                 1.0359,                0.92352,                0.89815,                0.92176,                0.43356,                 1.8449,                 0.8339,                 1.1469,              0.0015644,              0.0015644,              0.0015644
                     24,                   1.61,                 0.7789,                 1.0317,                0.91986,                0.85021,                0.88213,                0.43887,                 1.8313,                0.89295,                 1.1442,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6029,                0.79123,                 1.0402,                0.95649,                0.89815,                0.93783,                0.47081,                 1.7706,                0.78826,                 1.1266,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5877,                 0.7803,                 1.0303,                0.89441,                0.84259,                0.88028,                0.44905,                 1.8144,                0.86538,                 1.1529,               0.001505,               0.001505,               0.001505
